name	type	x	y	z
S1	source	75.553375	-13.309805	56.243248
S2	source	61.712761	22.478854999999996	55.896942
S3	source	41.861702	51.048626	56.57592
S4	source	15.13266	68.814995	55.614784
S5	source	-14.288206	67.727409	57.363583
S6	source	-41.82005699999999	50.731739	56.875603
S7	source	-62.068413	22.185744999999997	55.572811
S8	source	-76.67746	-11.95928	53.266243
S9	source	85.405266	-27.87421	19.117022
S10	source	79.373917	11.057996	21.75919
S11	source	63.110573	47.571686	23.104909999999997
S12	source	36.764511	76.628342	22.031306999999998
S13	source	0.289038	86.197708	22.138672
S14	source	-36.667755	76.46579	22.711715999999996
S15	source	-62.903389000000004	48.466309	21.936398
S16	source	-78.957619	12.903575	20.663059
S17	source	-85.696426	-25.48035	16.507151
S18	source	83.14872699999998	-5.536536	-17.437056
S19	source	74.601761	31.916745999999996	-13.372647
S20	source	54.790958	67.056511	-12.927155
S21	source	19.582027	88.174309	-13.486886
S22	source	-20.993229	87.957733	-13.566081
S23	source	-53.012123	68.901382	-12.865297
S24	source	-73.511665	35.261505	-14.252438000000001
S25	source	-82.285942	-1.8074410000000003	-19.608761
D1	detector	77.899071	-33.4701	55.911629
D2	detector	69.16954	5.838355	56.038086
D3	detector	53.035423	37.085087	56.683029
D4	detector	29.396189	61.753334	55.989292
D5	detector	0.058538	71.231155	55.48768199999999
D6	detector	-29.870030999999997	60.913296	56.557568
D7	detector	-52.560493	37.88887	56.634155
D8	detector	-70.070404	5.107232	55.099548
D9	detector	-79.835098	-31.14994	51.724250999999995
D10	detector	82.93866699999998	-19.931257	38.338547
D11	detector	78.744843	-0.407902	39.364223
D12	detector	73.018982	17.023184	39.984531
D13	detector	64.304367	35.419971	39.270832
D14	detector	54.54808	50.521473	39.973217
D15	detector	41.685581	64.161224	40.557552
D16	detector	26.853613	74.231247	39.775253
D17	detector	9.473846	80.111038	38.825291
D18	detector	-8.594644	80.067139	39.228905
D19	detector	-25.901421	74.637512	39.716702
D20	detector	-41.047527	64.959282	40.119083
D21	detector	-54.511898	51.13079499999999	39.197559
D22	detector	-64.101837	35.426479	39.717903
D23	detector	-73.171516	18.849604	37.820198
D24	detector	-78.851059	1.121031	37.478859
D25	detector	-83.302536	-18.301819	35.087551
D26	detector	83.789513	-8.758278	20.01165
D27	detector	73.214569	29.479551	22.795756999999995
D28	detector	52.068638	62.973648	22.311495
D29	detector	18.767729	84.047867	21.939425
D30	detector	-18.889393	83.76660900000002	22.877134000000005
D31	detector	-51.250961	63.437691	23.539324
D32	detector	-72.575722	31.292673	22.009647
D33	detector	-83.431633	-6.121353000000001	17.602419
D34	detector	85.50482200000002	-16.589993	0.3649629999999999
D35	detector	82.13421600000001	3.2643140000000006	3.101076
D36	detector	77.498749	21.916821	4.554604
D37	detector	70.772629	40.521679	4.795791
D38	detector	60.033363	58.176384	5.314859
D39	detector	45.385216	73.272858	4.228754
D40	detector	29.706310000000002	82.886398	4.318017
D41	detector	10.596958999999998	88.007523	4.560664
D42	detector	-9.94602	88.13133199999999	3.666321
D43	detector	-28.588558	83.327324	4.854606
D44	detector	-45.536949	73.143852	4.358913
D45	detector	-59.289711	59.295532	4.723628
D46	detector	-69.305351	43.59510800000001	4.08037
D47	detector	-76.539406	25.088778	3.4422450000000007
D48	detector	-81.495262	5.644416	1.104379
D49	detector	-85.1464	-13.487534	-2.28965
D50	detector	86.03923	-24.224987	-16.594364
D51	detector	79.482445	12.483138999999998	-14.166574
D52	detector	65.96389	51.378384	-12.945305000000001
D53	detector	37.987854	80.54808	-12.99329
D54	detector	0.227427	89.751022	-15.317758999999999
D55	detector	-37.285172	81.070168	-13.830824
D56	detector	-65.100357	52.832153000000005	-13.128581
D57	detector	-78.477699	17.318756	-15.617261
D58	detector	-85.483124	-20.193304000000005	-19.453415
D59	detector	77.078011	-20.778843000000002	56.26198600000001
D60	detector	47.207397	45.460018	55.964005
D61	detector	-7.225994	68.978821	57.740772
D62	detector	-58.50663	29.450197	55.264275
D63	detector	76.866837	24.071236	-12.719555
D64	detector	27.709793	85.725616	-13.277934
D65	detector	-46.775414	74.575668	-12.77936
D66	detector	-80.566765	6.9856560000000005	-19.43219
